2025-03-04 12:12:08.7129 | Microsoft.Hosting.Lifetime | INFO | Now listening on: https://localhost:7222 | 
2025-03-04 12:12:08.9376 | Microsoft.Hosting.Lifetime | INFO | Now listening on: http://localhost:5240 | 
2025-03-04 12:12:09.3559 | Microsoft.Hosting.Lifetime | INFO | Application started. Press Ctrl+C to shut down. | 
2025-03-04 12:12:09.4141 | Microsoft.Hosting.Lifetime | INFO | Hosting environment: Development | 
2025-03-04 12:12:09.4283 | Microsoft.Hosting.Lifetime | INFO | Content root path: C:\Users\HP\Documents\GreetingApp_2384200174\HelloGreetingApplication\HelloGreetingApplication\ | 
2025-03-04 12:12:10.4620 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/index.html - - | 
2025-03-04 12:12:11.9486 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/index.html - - - 200 - text/html;charset=utf-8 1499.7607ms | 
2025-03-04 12:12:11.9621 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/index.js - - | 
2025-03-04 12:12:11.9743 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/_vs/browserLink - - | 
2025-03-04 12:12:11.9743 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/_framework/aspnetcore-browser-refresh.js - - | 
2025-03-04 12:12:11.9931 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 31.0586ms | 
2025-03-04 12:12:12.0253 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/_framework/aspnetcore-browser-refresh.js - - - 200 12006 application/javascript;+charset=utf-8 50.3335ms | 
2025-03-04 12:12:12.3396 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 365.3230ms | 
2025-03-04 12:12:12.6812 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/v1/swagger.json - - | 
2025-03-04 12:12:12.7231 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 41.8145ms | 
2025-03-04 12:13:10.2909 | Microsoft.Hosting.Lifetime | INFO | Now listening on: https://localhost:7222 | 
2025-03-04 12:13:10.5423 | Microsoft.Hosting.Lifetime | INFO | Now listening on: http://localhost:5240 | 
2025-03-04 12:13:11.2502 | Microsoft.Hosting.Lifetime | INFO | Application started. Press Ctrl+C to shut down. | 
2025-03-04 12:13:11.2905 | Microsoft.Hosting.Lifetime | INFO | Hosting environment: Development | 
2025-03-04 12:13:11.3321 | Microsoft.Hosting.Lifetime | INFO | Content root path: C:\Users\HP\Documents\GreetingApp_2384200174\HelloGreetingApplication\HelloGreetingApplication\ | 
2025-03-04 12:13:12.9678 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/index.html - - | 
2025-03-04 12:13:14.7376 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/_vs/browserLink - - | 
2025-03-04 12:13:14.7376 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/index.js - - | 
2025-03-04 12:13:14.7376 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/_framework/aspnetcore-browser-refresh.js - - | 
2025-03-04 12:13:14.7376 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/index.html - - - 200 - text/html;charset=utf-8 1791.8163ms | 
2025-03-04 12:13:14.7655 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 24.0524ms | 
2025-03-04 12:13:14.7776 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/_framework/aspnetcore-browser-refresh.js - - - 200 12006 application/javascript;+charset=utf-8 36.1746ms | 
2025-03-04 12:13:15.0619 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 320.5034ms | 
2025-03-04 12:13:15.3790 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/v1/swagger.json - - | 
2025-03-04 12:13:15.4613 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 82.2305ms | 
2025-03-04 22:14:34.7039 | Microsoft.Hosting.Lifetime | INFO | Now listening on: https://localhost:7222 | 
2025-03-04 22:14:35.6729 | Microsoft.Hosting.Lifetime | INFO | Now listening on: http://localhost:5240 | 
2025-03-04 22:14:37.1826 | Microsoft.Hosting.Lifetime | INFO | Application started. Press Ctrl+C to shut down. | 
2025-03-04 22:14:37.4553 | Microsoft.Hosting.Lifetime | INFO | Hosting environment: Development | 
2025-03-04 22:14:37.9819 | Microsoft.Hosting.Lifetime | INFO | Content root path: C:\Users\HP\Documents\GreetingApp_2384200174\HelloGreetingApplication\HelloGreetingApplication\ | 
2025-03-04 22:14:39.3362 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/index.html - - | 
2025-03-04 22:14:41.7473 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/index.html - - - 200 - text/html;charset=utf-8 2419.5686ms | 
2025-03-04 22:14:41.8900 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/_framework/aspnetcore-browser-refresh.js - - | 
